Provinsi,Tahun,Fasilitas_Sekolah,Anggaran_Pendidikan,Jumlah_Pengangguran,Jumlah_Penduduk_Bersekolah
Aceh,2018,5600,  3780310005374.80 ,149723,405696
Aceh,2019,5902,  4753589584823.00 ,146622,366433
Aceh,2020,5846,  4740183679238.60 ,166600,364266
Aceh,2021,5644,  4977255247875.00 ,158857,328898
Sumatera Utara,2018,9200,  5336167433275.00 ,396027,865344
Sumatera Utara,2019,9312,  6208045888624.00 ,382438,896494
Sumatera Utara,2020,9369,  6656776904625.25 ,507805,856408
Sumatera Utara,2021,9301,  4335404610493.00 ,475156,819733
Sumatera Barat,2018,2708,  2182818460904.70 ,141680,421945
Sumatera Barat,2019,2722,  2383684581894.00 ,138459,393053
Sumatera Barat,2020,2733,  3286174218295.50 ,190609,375778
Sumatera Barat,2021,2738,  3023417959594.00 ,179948,385915
Riau,2018,3885,  2973018195528.00 ,192801,430110
Riau,2019,3924,  3358733073081.31 ,190143,433719
Riau,2020,3943,  3726277609647.16 ,203837,416163
Riau,2021,3957,  2349290191621.00 ,145669,397560
Jambi,2018,2759,  1506133286332.14 ,69075,202141
Jambi,2019,2810,  1678905995302.00 ,73965,230368
Jambi,2020,2833,  1827658008009.88 ,93990,213137
Jambi,2021,2786,  877990308539.00 ,93754,196461
Sumatera Selatan,2018,5236,  1757782760397.00 ,175087,497672
Sumatera Selatan,2019,5287,  1841167290000.00 ,185918,513966
Sumatera Selatan,2020,5359,  3361067494703.00 ,238363,472024
Sumatera Selatan,2021,5411,  665204088650.00 ,219199,430292
Bengkulu,2018,1950,  789389814684.35 ,35061,139441
Bengkulu,2019,1977,  813881241651.36 ,34439,129518
Bengkulu,2020,1987,  1210272072783.55 ,43801,120347
Bengkulu,2021,1955,  605470031484.00 ,38745,116606
Lampung,2018,4721,  2712583880570.42 ,171689,423093
Lampung,2019,4788,  3012444698277.00 ,171455,446459
Lampung,2020,4823,  3069519308775.00 ,209568,434474
Lampung,2021,4699,  2948750538317.46 ,210632,408595
Kepulauan Bangka Belitung,2018,781,  722342444686.48 ,26552,81716
Kepulauan Bangka Belitung,2019,792,  842219797555.48 ,26871,82178
Kepulauan Bangka Belitung,2020,802,  516300282264.00 ,38756,73062
Kepulauan Bangka Belitung,2021,802,  591758163053.88 ,37176,71729
Kepulauan Riau,2018,876,  982434844346.70 ,69113,133156
Kepulauan Riau,2019,893,  1112552777626.00 ,69479,144335
Kepulauan Riau,2020,902,  1117715149082.15 ,117176,153357
Kepulauan Riau,2021,906,  886840459310.00 ,119595,149288
DKI Jakarta,2018,974,  16153348621320.00 ,314841,696361
DKI Jakarta,2019,978,  24061095001382.00 ,320901,669463
DKI Jakarta,2020,970,  22952845305424.00 ,572780,725470
DKI Jakarta,2021,970,  19801423461070.00 ,439899,669558
Jawa Barat,2018,14473,  13429466749281.00 ,1848234,3036782
Jawa Barat,2019,14571,  14079848855599.00 ,1901498,2805512
Jawa Barat,2020,14803,  17390986752331.00 ,2533076,2868186
Jawa Barat,2021,14819,  13235266950451.00 ,2430147,2756732
Jawa Tengah,2018,14721,  6028745371546.00 ,814347,2162301
Jawa Tengah,2019,14804,  11938528076000.00 ,819355,1917325
Jawa Tengah,2020,14872,  12228609229000.00 ,1214342,1787373
Jawa Tengah,2021,14869,  11840602206000.00 ,1128223,1795640
DI Yogyakarta,2018,1100,  1542408871056.81 ,73350,247191
DI Yogyakarta,2019,1105,  2217151942617.00 ,69170,265781
DI Yogyakarta,2020,1110,  2202107385635.40 ,101846,277808
DI Yogyakarta,2021,1106,  2077759100210.00 ,106432,253480
Jawa Timur,2018,17431,  9746816818902.15 ,850474,2327947
Jawa Timur,2019,17628,  11871159932550.00 ,843754,2238697
Jawa Timur,2020,17775,  2420057146673.00 ,1301145,2095398
Jawa Timur,2021,17680,  12824582102609.00 ,1281395,2042868
Banten,2018,4034,  3603844398496.48 ,496732,875123
Banten,2019,4111,  4380039615243.00 ,490808,801770
Banten,2020,4142,  4851593122060.00 ,661061,785153
Banten,2021,4092,  5051341264907.00 ,562310,728891
Bali,2018,1322,  1850030037853.55 ,34485,255929
Bali,2019,1345,  2057372883325.95 ,37551,278854
Bali,2020,1347,  2174887336365.49 ,144500,265941
Bali,2021,1352,  1214808939395.00 ,138669,261135
Nusa Tenggara Barat,2018,2868,  1853325435909.44 ,83257,234977
Nusa Tenggara Barat,2019,2893,  2057670827105.00 ,84516,289990
Nusa Tenggara Barat,2020,2938,  2143898591041.00 ,113430,257388
Nusa Tenggara Barat,2021,2950,  558967183877.00 ,82495,248399
Nusa Tenggara Timur,2018,5690,  2269988686612.00 ,74748,388407
Nusa Tenggara Timur,2019,5733,  2970607655626.00 ,83030,427553
Nusa Tenggara Timur,2020,5830,  3157975999334.00 ,121884,336572
Nusa Tenggara Timur,2021,5675,  2849379270797.00 ,109928,298015
Kalimantan Barat,2018,3805,  1766701113680.00 ,104518,286333
Kalimantan Barat,2019,3795,  2175857217957.00 ,110272,296944
Kalimantan Barat,2020,3845,  2420057146673.00 ,151561,281342
Kalimantan Barat,2021,3765,  2575082202845.00 ,153307,270636
Kalimantan Tengah,2018,2759,  1228399096350.68 ,54397,142306
Kalimantan Tengah,2019,2759,  1559141220965.00 ,56790,163231
Kalimantan Tengah,2020,2763,  1661408337809.00 ,63309,145995
